fight_name,fighter_1_name,fighter_2_name,fighter_1_strength,fighter_2_strength,strength_diff,strength_advantage,fighter_1_travel_speed,fighter_2_travel_speed,travel_speed_diff,travel_speed_advantage,fighter_1_agility,fighter_2_agility,agility_diff,agility_advantage,fighter_1_reaction_speed,fighter_2_reaction_speed,reaction_speed_diff,reaction_speed_advantage,fighter_1_offense,fighter_2_offense,offense_diff,offense_advantage,fighter_1_defense,fighter_2_defense,defense_diff,defense_advantage,fighter_1_endurance,fighter_2_endurance,endurance_diff,endurance_advantage,fighter_1_durability,fighter_2_durability,durability_diff,durability_advantage,fighter_1_stamina,fighter_2_stamina,stamina_diff,stamina_advantage,fighter_1_intelligence,fighter_2_intelligence,intelligence_diff,intelligence_advantage,fighter_1_battle_iq,fighter_2_battle_iq,battle_iq_diff,battle_iq_advantage,fighter_1_combat_skills,fighter_2_combat_skills,combat_skills_diff,combat_skills_advantage,fighter_1_weapon_proficiency,fighter_2_weapon_proficiency,weapon_proficiency_diff,weapon_proficiency_advantage,fighter_1_armament_haki,fighter_2_armament_haki,armament_haki_diff,armament_haki_advantage,fighter_1_observation_haki,fighter_2_observation_haki,observation_haki_diff,observation_haki_advantage,fighter_1_conqueror_haki,fighter_2_conqueror_haki,conqueror_haki_diff,conqueror_haki_advantage,fighter_1_devil_fruit,fighter_2_devil_fruit,devil_fruit_diff,devil_fruit_advantage,fighter_1_mentality,fighter_2_mentality,mentality_diff,mentality_advantage,fighter_1_experience,fighter_2_experience,experience_diff,experience_advantage,fighter_1_points,fighter_2_points,outcome
Nico Robin vs Charlotte Mont-d'Or,Nico Robin,Charlotte Mont-d'Or,4.5,6.5,-2.0,0,4.5,5.0,-0.5,0,5.5,6.0,-0.5,0,6.0,6.0,0.0,0,7.0,7.0,0.0,0,5.5,6.5,-1.0,0,5.5,6.5,-1.0,0,5.0,6.0,-1.0,0,6.5,6.5,0.0,0,10.0,8.0,2.0,1,8.5,7.0,1.5,1,7.5,7.0,0.5,1,2.0,5.5,-3.5,0,3.5,7.0,-3.5,0,4.0,6.0,-2.0,0,0.0,0.0,0.0,0,9.0,7.5,1.5,1,8.5,7.0,1.5,1,8.5,7.5,1.0,1,10,13,loss
Nico Robin vs Caesar Clown,Nico Robin,Caesar Clown,4.5,4.0,0.5,1,4.5,4.0,0.5,1,5.5,5.0,0.5,1,6.0,5.5,0.5,1,7.0,7.0,0.0,0,5.5,5.0,0.5,1,5.5,4.5,1.0,1,5.0,4.5,0.5,1,6.5,5.0,1.5,1,10.0,9.0,1.0,1,8.5,6.0,2.5,1,7.5,4.5,3.0,1,2.0,6.5,-4.5,0,3.5,1.0,2.5,1,4.0,1.0,3.0,1,0.0,0.0,0.0,0,9.0,8.0,1.0,1,8.5,3.5,5.0,1,8.5,7.0,1.5,1,18,3,victory
Nico Robin vs Kin'emon,Nico Robin,Kin'emon,4.5,6.5,-2.0,0,4.5,5.5,-1.0,0,5.5,6.5,-1.0,0,6.0,6.5,-0.5,0,7.0,7.0,0.0,0,5.5,6.0,-0.5,0,5.5,6.5,-1.0,0,5.0,6.0,-1.0,0,6.5,6.5,0.0,0,10.0,6.0,4.0,1,8.5,7.5,1.0,1,7.5,7.5,0.0,0,2.0,8.0,-6.0,0,3.5,6.5,-3.0,0,4.0,5.0,-1.0,0,0.0,0.0,0.0,0,9.0,7.0,2.0,1,8.5,8.0,0.5,1,8.5,7.5,1.0,1,9,14,loss
Nico Robin vs Zeff,Nico Robin,Zeff,4.5,6.5,-2.0,0,4.5,5.5,-1.0,0,5.5,4.5,1.0,1,6.0,6.5,-0.5,0,7.0,6.0,1.0,1,5.5,6.0,-0.5,0,5.5,7.5,-2.0,0,5.0,7.0,-2.0,0,6.5,6.5,0.0,0,10.0,7.5,2.5,1,8.5,7.5,1.0,1,7.5,7.5,0.0,0,2.0,4.0,-2.0,0,3.5,4.5,-1.0,0,4.0,4.5,-0.5,0,0.0,0.0,0.0,0,9.0,1.0,8.0,1,8.5,8.5,0.0,0,8.5,9.0,-0.5,0,9,14,loss
Nico Robin vs Vista,Nico Robin,Vista,4.5,8.0,-3.5,0,4.5,6.5,-2.0,0,5.5,7.5,-2.0,0,6.0,8.5,-2.5,0,7.0,8.0,-1.0,0,5.5,7.5,-2.0,0,5.5,7.5,-2.0,0,5.0,7.5,-2.5,0,6.5,8.0,-1.5,0,10.0,7.0,3.0,1,8.5,8.0,0.5,1,7.5,9.0,-1.5,0,2.0,9.5,-7.5,0,3.5,8.0,-4.5,0,4.0,7.0,-3.0,0,0.0,0.0,0.0,0,9.0,1.0,8.0,1,8.5,7.5,1.0,1,8.5,9.0,-0.5,0,5,15,loss
Nico Robin vs Charlotte Perospero,Nico Robin,Charlotte Perospero,4.5,7.0,-2.5,0,4.5,6.0,-1.5,0,5.5,5.0,0.5,1,6.0,6.5,-0.5,0,7.0,8.0,-1.0,0,5.5,7.0,-1.5,0,5.5,7.0,-1.5,0,5.0,7.0,-2.0,0,6.5,7.0,-0.5,0,10.0,7.5,2.5,1,8.5,7.5,1.0,1,7.5,7.0,0.5,1,2.0,5.5,-3.5,0,3.5,7.0,-3.5,0,4.0,6.0,-2.0,0,0.0,0.0,0.0,0,9.0,9.0,0.0,0,8.5,7.5,1.0,1,8.5,8.0,0.5,1,8,13,loss
Nico Robin vs Kawamatsu,Nico Robin,Kawamatsu,4.5,7.5,-3.0,0,4.5,6.0,-1.5,0,5.5,7.0,-1.5,0,6.0,7.0,-1.0,0,7.0,8.0,-1.0,0,5.5,7.0,-1.5,0,5.5,8.5,-3.0,0,5.0,7.5,-2.5,0,6.5,8.5,-2.0,0,10.0,6.5,3.5,1,8.5,7.5,1.0,1,7.5,8.5,-1.0,0,2.0,8.0,-6.0,0,3.5,6.5,-3.0,0,4.0,6.0,-2.0,0,0.0,0.0,0.0,0,9.0,1.0,8.0,1,8.5,9.0,-0.5,0,8.5,8.5,0.0,0,5,16,loss
Nico Robin vs Pandaman,Nico Robin,Pandaman,4.5,3.5,1.0,1,4.5,4.0,0.5,1,5.5,4.5,1.0,1,6.0,5.0,1.0,1,7.0,3.0,4.0,1,5.5,3.5,2.0,1,5.5,6.0,-0.5,0,5.0,4.5,0.5,1,6.5,6.5,0.0,0,10.0,5.5,4.5,1,8.5,2.5,6.0,1,7.5,2.5,5.0,1,2.0,2.5,-0.5,0,3.5,1.0,2.5,1,4.0,5.0,-1.0,0,0.0,0.0,0.0,0,9.0,1.0,8.0,1,8.5,7.5,1.0,1,8.5,8.5,0.0,0,16,6,victory
Nico Robin vs Bartholomew Kuma,Nico Robin,Bartholomew Kuma,4.5,9.5,-5.0,0,4.5,10.0,-5.5,0,5.5,7.5,-2.0,0,6.0,9.0,-3.0,0,7.0,9.5,-2.5,0,5.5,8.5,-3.0,0,5.5,9.0,-3.5,0,5.0,9.5,-4.5,0,6.5,9.5,-3.0,0,10.0,8.5,1.5,1,8.5,9.0,-0.5,0,7.5,8.0,-0.5,0,2.0,4.0,-2.0,0,3.5,8.0,-4.5,0,4.0,8.0,-4.0,0,0.0,0.0,0.0,0,9.0,10.0,-1.0,0,8.5,7.5,1.0,1,8.5,9.5,-1.0,0,3,17,loss
Nico Robin vs Charlotte Cracker,Nico Robin,Charlotte Cracker,4.5,8.5,-4.0,0,4.5,7.0,-2.5,0,5.5,7.0,-1.5,0,6.0,7.5,-1.5,0,7.0,9.0,-2.0,0,5.5,9.0,-3.5,0,5.5,7.0,-1.5,0,5.0,8.0,-3.0,0,6.5,8.0,-1.5,0,10.0,7.5,2.5,1,8.5,8.5,0.0,0,7.5,8.0,-0.5,0,2.0,8.0,-6.0,0,3.5,8.5,-5.0,0,4.0,7.5,-3.5,0,0.0,0.0,0.0,0,9.0,9.0,0.0,0,8.5,7.5,1.0,1,8.5,8.5,0.0,0,6,17,loss
Nico Robin vs Chouchou,Nico Robin,Chouchou,4.5,1.5,3.0,1,4.5,2.0,2.5,1,5.5,3.0,2.5,1,6.0,3.0,3.0,1,7.0,1.5,5.5,1,5.5,2.0,3.5,1,5.5,4.0,1.5,1,5.0,2.5,2.5,1,6.5,3.5,3.0,1,10.0,3.0,7.0,1,8.5,2.0,6.5,1,7.5,1.5,6.0,1,2.0,1.0,1.0,1,3.5,1.0,2.5,1,4.0,1.0,3.0,1,0.0,0.0,0.0,0,9.0,1.0,8.0,1,8.5,8.0,0.5,1,8.5,2.0,6.5,1,19,1,victory
Boa Hancock vs Carrot,Boa Hancock,Carrot,8.5,6.5,2.0,1,7.0,7.0,0.0,0,8.0,8.0,0.0,0,7.5,7.5,0.0,0,9.5,7.0,2.5,1,7.0,5.5,1.5,1,7.0,6.5,0.5,1,7.5,6.0,1.5,1,7.0,6.5,0.5,1,7.0,6.0,1.0,1,8.0,6.0,2.0,1,9.0,7.0,2.0,1,3.5,7.0,-3.5,0,8.0,0.0,8.0,1,8.0,0.0,8.0,1,1.0,0.0,1.0,1,9.5,0.0,9.5,1,7.0,7.5,-0.5,0,8.0,5.5,2.5,1,17,5,victory
Boa Hancock vs Portgas D. Ace,Boa Hancock,Portgas D. Ace,8.5,9.0,-0.5,0,7.0,7.0,0.0,0,8.0,8.0,0.0,0,7.5,8.0,-0.5,0,9.5,9.5,0.0,0,7.0,7.5,-0.5,0,7.0,8.5,-1.5,0,7.5,7.5,0.0,0,7.0,9.0,-2.0,0,7.0,7.0,0.0,0,8.0,8.0,0.0,0,9.0,9.0,0.0,0,3.5,6.5,-3.0,0,8.0,8.0,0.0,0,8.0,8.0,0.0,0,1.0,1.0,0.0,0,9.5,9.5,0.0,0,7.0,8.0,-1.0,0,8.0,8.0,0.0,0,12,19,loss
Boa Hancock vs Sabo,Boa Hancock,Sabo,8.5,9.0,-0.5,0,7.0,7.5,-0.5,0,8.0,8.5,-0.5,0,7.5,9.0,-1.5,0,9.5,9.0,0.5,1,7.0,8.0,-1.0,0,7.0,8.5,-1.5,0,7.5,8.0,-0.5,0,7.0,8.5,-1.5,0,7.0,7.5,-0.5,0,8.0,9.0,-1.0,0,9.0,9.5,-0.5,0,3.5,6.0,-2.5,0,8.0,9.0,-1.0,0,8.0,8.0,0.0,0,1.0,0.0,1.0,1,9.5,9.0,0.5,1,7.0,8.5,-1.5,0,8.0,9.0,-1.0,0,4,16,loss
Boa Hancock vs Yamato,Boa Hancock,Yamato,8.5,8.5,0.0,0,7.0,7.5,-0.5,0,8.0,7.5,0.5,1,7.5,8.0,-0.5,0,9.5,8.5,1.0,1,7.0,8.0,-1.0,0,7.0,8.0,-1.0,0,7.5,8.0,-0.5,0,7.0,8.0,-1.0,0,7.0,7.0,0.0,0,8.0,8.0,0.0,0,9.0,8.5,0.5,1,3.5,7.5,-4.0,0,8.0,8.5,-0.5,0,8.0,7.0,1.0,1,1.0,1.0,0.0,0,9.5,8.0,1.5,1,7.0,7.0,0.0,0,8.0,7.0,1.0,1,11,13,loss
Boa Hancock vs Shanks,Boa Hancock,Shanks,8.5,9.5,-1.0,0,7.0,7.5,-0.5,0,8.0,9.0,-1.0,0,7.5,10.0,-2.5,0,9.5,9.5,0.0,0,7.0,9.0,-2.0,0,7.0,9.0,-2.0,0,7.5,8.5,-1.0,0,7.0,9.5,-2.5,0,7.0,8.0,-1.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,3.5,10.0,-6.5,0,8.0,10.0,-2.0,0,8.0,9.5,-1.5,0,1.0,1.0,0.0,0,9.5,1.0,8.5,1,7.0,10.0,-3.0,0,8.0,10.0,-2.0,0,3,18,loss
Boa Hancock vs Donquixote Rosinante,Boa Hancock,Donquixote Rosinante,8.5,4.5,4.0,1,7.0,5.0,2.0,1,8.0,4.0,4.0,1,7.5,6.0,1.5,1,9.5,5.0,4.5,1,7.0,5.0,2.0,1,7.0,7.0,0.0,0,7.5,6.0,1.5,1,7.0,6.5,0.5,1,7.0,8.0,-1.0,0,8.0,6.5,1.5,1,9.0,5.0,4.0,1,3.5,5.5,-2.0,0,8.0,3.0,5.0,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,9.5,8.0,1.5,1,7.0,9.0,-2.0,0,8.0,7.0,1.0,1,16,4,victory
Boa Hancock vs Charlotte Katakuri,Boa Hancock,Charlotte Katakuri,8.5,9.0,-0.5,0,7.0,7.0,0.0,0,8.0,8.0,0.0,0,7.5,9.5,-2.0,0,9.5,8.5,1.0,1,7.0,8.0,-1.0,0,7.0,9.5,-2.5,0,7.5,9.0,-1.5,0,7.0,9.0,-2.0,0,7.0,7.5,-0.5,0,8.0,9.0,-1.0,0,9.0,9.5,-0.5,0,3.5,7.0,-3.5,0,8.0,9.0,-1.0,0,8.0,10.0,-2.0,0,1.0,1.0,0.0,0,9.5,8.5,1.0,1,7.0,8.0,-1.0,0,8.0,9.0,-1.0,0,5,17,loss
Boa Hancock vs Usopp,Boa Hancock,Usopp,8.5,3.0,5.5,1,7.0,4.5,2.5,1,8.0,6.5,1.5,1,7.5,6.0,1.5,1,9.5,6.0,3.5,1,7.0,3.5,3.5,1,7.0,5.5,1.5,1,7.5,4.5,3.0,1,7.0,6.5,0.5,1,7.0,7.5,-0.5,0,8.0,7.0,1.0,1,9.0,6.0,3.0,1,3.5,9.0,-5.5,0,8.0,0.5,7.5,1,8.0,7.5,0.5,1,1.0,0.0,1.0,1,9.5,0.5,9.0,1,7.0,6.5,0.5,1,8.0,7.0,1.0,1,17,2,victory
Boa Hancock vs Tony Tony Chopper,Boa Hancock,Tony Tony Chopper,8.5,6.5,2.0,1,7.0,4.5,2.5,1,8.0,7.0,1.0,1,7.5,5.5,2.0,1,9.5,6.5,3.0,1,7.0,6.0,1.0,1,7.0,6.5,0.5,1,7.5,6.5,1.0,1,7.0,6.0,1.0,1,7.0,8.5,-1.5,0,8.0,7.0,1.0,1,9.0,6.0,3.0,1,3.5,2.0,1.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,9.5,8.0,1.5,1,7.0,6.5,0.5,1,8.0,6.5,1.5,1,18,1,victory
Boa Hancock vs Crocodile,Boa Hancock,Crocodile,8.5,7.5,1.0,1,7.0,6.5,0.5,1,8.0,7.0,1.0,1,7.5,7.5,0.0,0,9.5,8.5,1.0,1,7.0,8.0,-1.0,0,7.0,7.0,0.0,0,7.5,7.0,0.5,1,7.0,7.5,-0.5,0,7.0,8.5,-1.5,0,8.0,9.0,-1.0,0,9.0,8.0,1.0,1,3.5,7.5,-4.0,0,8.0,6.0,2.0,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,9.5,9.0,0.5,1,7.0,8.5,-1.5,0,8.0,9.0,-1.0,0,12,9,victory
Boa Hancock vs Jinbe,Boa Hancock,Jinbe,8.5,5.0,3.5,1,7.0,4.5,2.5,1,8.0,4.0,4.0,1,7.5,4.5,3.0,1,9.5,5.0,4.5,1,7.0,5.5,1.5,1,7.0,5.0,2.0,1,7.5,5.5,2.0,1,7.0,5.0,2.0,1,7.0,4.5,2.5,1,8.0,5.0,3.0,1,9.0,5.5,3.5,1,3.5,3.5,0.0,0,8.0,5.0,3.0,1,8.0,4.5,3.5,1,1.0,0.0,1.0,1,9.5,1.0,8.5,1,7.0,5.0,2.0,1,8.0,5.5,2.5,1,19,1,victory
Boa Hancock vs Marco,Boa Hancock,Marco,8.5,8.0,0.5,1,7.0,8.5,-1.5,0,8.0,9.0,-1.0,0,7.5,9.0,-1.5,0,9.5,8.5,1.0,1,7.0,9.5,-2.5,0,7.0,9.5,-2.5,0,7.5,9.0,-1.5,0,7.0,8.5,-1.5,0,7.0,8.0,-1.0,0,8.0,9.0,-1.0,0,9.0,9.0,0.0,0,3.5,4.5,-1.0,0,8.0,7.5,0.5,1,8.0,7.5,0.5,1,1.0,0.0,1.0,1,9.5,10.0,-0.5,0,7.0,8.0,-1.0,0,8.0,9.5,-1.5,0,6,14,loss
Boa Hancock vs Donquixote Doflamingo,Boa Hancock,Donquixote Doflamingo,8.5,8.5,0.0,0,7.0,7.0,0.0,0,8.0,8.5,-0.5,0,7.5,8.5,-1.0,0,9.5,9.0,0.5,1,7.0,8.0,-1.0,0,7.0,9.0,-2.0,0,7.5,8.5,-1.0,0,7.0,9.5,-2.5,0,7.0,9.0,-2.0,0,8.0,9.0,-1.0,0,9.0,9.0,0.0,0,3.5,7.5,-4.0,0,8.0,8.5,-0.5,0,8.0,8.0,0.0,0,1.0,1.0,0.0,0,9.5,10.0,-0.5,0,7.0,8.5,-1.5,0,8.0,9.5,-1.5,0,6,18,loss
Boa Hancock vs Nefertari Vivi,Boa Hancock,Nefertari Vivi,8.5,3.0,5.5,1,7.0,3.0,4.0,1,8.0,4.0,4.0,1,7.5,4.5,3.0,1,9.5,3.0,6.5,1,7.0,3.5,3.5,1,7.0,4.5,2.5,1,7.5,3.5,4.0,1,7.0,5.5,1.5,1,7.0,7.5,-0.5,0,8.0,6.5,1.5,1,9.0,4.5,4.5,1,3.5,5.5,-2.0,0,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,9.5,1.0,8.5,1,7.0,8.5,-1.5,0,8.0,6.0,2.0,1,16,3,victory
Boa Hancock vs Bentham,Boa Hancock,Bentham,8.5,6.5,2.0,1,7.0,5.0,2.0,1,8.0,8.0,0.0,0,7.5,6.5,1.0,1,9.5,6.5,3.0,1,7.0,5.5,1.5,1,7.0,6.5,0.5,1,7.5,6.0,1.5,1,7.0,7.5,-0.5,0,7.0,6.5,0.5,1,8.0,7.5,0.5,1,9.0,7.5,1.5,1,3.5,3.0,0.5,1,8.0,0.5,7.5,1,8.0,0.5,7.5,1,1.0,0.0,1.0,1,9.5,7.5,2.0,1,7.0,9.5,-2.5,0,8.0,7.0,1.0,1,17,3,victory
Boa Hancock vs Eustass Kid,Boa Hancock,Eustass Kid,8.5,8.5,0.0,0,7.0,6.5,0.5,1,8.0,6.5,1.5,1,7.5,8.0,-0.5,0,9.5,8.5,1.0,1,7.0,7.5,-0.5,0,7.0,8.0,-1.0,0,7.5,8.0,-0.5,0,7.0,8.0,-1.0,0,7.0,6.5,0.5,1,8.0,7.5,0.5,1,9.0,7.5,1.5,1,3.5,5.0,-1.5,0,8.0,8.0,0.0,0,8.0,7.0,1.0,1,1.0,1.0,0.0,0,9.5,9.0,0.5,1,7.0,8.0,-1.0,0,8.0,8.0,0.0,0,12,11,victory
Boa Hancock vs Kouzuki Oden,Boa Hancock,Kouzuki Oden,8.5,9.5,-1.0,0,7.0,7.5,-0.5,0,8.0,7.5,0.5,1,7.5,8.5,-1.0,0,9.5,9.5,0.0,0,7.0,7.0,0.0,0,7.0,9.0,-2.0,0,7.5,8.0,-0.5,0,7.0,8.5,-1.5,0,7.0,6.5,0.5,1,8.0,7.5,0.5,1,9.0,9.5,-0.5,0,3.5,9.5,-6.0,0,8.0,9.0,-1.0,0,8.0,7.5,0.5,1,1.0,1.0,0.0,0,9.5,1.0,8.5,1,7.0,8.5,-1.5,0,8.0,9.0,-1.0,0,8,14,loss
Boa Hancock vs Perona,Boa Hancock,Perona,8.5,1.5,7.0,1,7.0,3.5,3.5,1,8.0,4.5,3.5,1,7.5,4.5,3.0,1,9.5,6.5,3.0,1,7.0,5.5,1.5,1,7.0,2.5,4.5,1,7.5,5.0,2.5,1,7.0,4.0,3.0,1,7.0,6.0,1.0,1,8.0,5.0,3.0,1,9.0,3.0,6.0,1,3.5,2.5,1.0,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,9.5,8.5,1.0,1,7.0,5.5,1.5,1,8.0,4.5,3.5,1,19,0,victory
Boa Hancock vs Brook,Boa Hancock,Brook,8.5,6.0,2.5,1,7.0,7.5,-0.5,0,8.0,8.5,-0.5,0,7.5,7.5,0.0,0,9.5,7.0,2.5,1,7.0,5.0,2.0,1,7.0,7.0,0.0,0,7.5,4.0,3.5,1,7.0,8.0,-1.0,0,7.0,7.0,0.0,0,8.0,7.0,1.0,1,9.0,7.5,1.5,1,3.5,8.5,-5.0,0,8.0,2.0,6.0,1,8.0,2.5,5.5,1,1.0,0.0,1.0,1,9.5,7.5,2.0,1,7.0,8.5,-1.5,0,8.0,8.5,-0.5,0,13,9,victory
Boa Hancock vs Smoker,Boa Hancock,Smoker,8.5,7.0,1.5,1,7.0,6.5,0.5,1,8.0,6.5,1.5,1,7.5,7.0,0.5,1,9.5,7.0,2.5,1,7.0,6.5,0.5,1,7.0,7.0,0.0,0,7.5,7.0,0.5,1,7.0,7.0,0.0,0,7.0,7.0,0.0,0,8.0,7.5,0.5,1,9.0,7.5,1.5,1,3.5,7.5,-4.0,0,8.0,6.5,1.5,1,8.0,7.0,1.0,1,1.0,0.0,1.0,1,9.5,8.0,1.5,1,7.0,8.0,-1.0,0,8.0,8.5,-0.5,0,16,6,victory
Boa Hancock vs Franky,Boa Hancock,Franky,8.5,8.0,0.5,1,7.0,6.5,0.5,1,8.0,6.5,1.5,1,7.5,6.5,1.0,1,9.5,8.0,1.5,1,7.0,7.5,-0.5,0,7.0,8.5,-1.5,0,7.5,9.0,-1.5,0,7.0,7.5,-0.5,0,7.0,8.0,-1.0,0,8.0,7.5,0.5,1,9.0,7.5,1.5,1,3.5,9.0,-5.5,0,8.0,2.0,6.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,9.5,0.5,9.0,1,7.0,8.5,-1.5,0,8.0,8.0,0.0,0,12,8,victory
Boa Hancock vs Gol D. Roger,Boa Hancock,Gol D. Roger,8.5,10.0,-1.5,0,7.0,9.5,-2.5,0,8.0,8.5,-0.5,0,7.5,10.0,-2.5,0,9.5,10.0,-0.5,0,7.0,8.5,-1.5,0,7.0,10.0,-3.0,0,7.5,10.0,-2.5,0,7.0,10.0,-3.0,0,7.0,8.5,-1.5,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,3.5,10.0,-6.5,0,8.0,10.0,-2.0,0,8.0,9.5,-1.5,0,1.0,1.0,0.0,0,9.5,1.0,8.5,1,7.0,10.0,-3.0,0,8.0,10.0,-2.0,0,2,18,loss
Boa Hancock vs Dracule Mihawk,Boa Hancock,Dracule Mihawk,8.5,10.0,-1.5,0,7.0,7.5,-0.5,0,8.0,8.0,0.0,0,7.5,10.0,-2.5,0,9.5,10.0,-0.5,0,7.0,9.0,-2.0,0,7.0,8.5,-1.5,0,7.5,8.5,-1.0,0,7.0,9.5,-2.5,0,7.0,8.0,-1.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,3.5,10.0,-6.5,0,8.0,9.5,-1.5,0,8.0,9.5,-1.5,0,1.0,0.0,1.0,1,9.5,1.0,8.5,1,7.0,9.5,-2.5,0,8.0,10.0,-2.0,0,3,17,loss
Boa Hancock vs Edward Newgate,Boa Hancock,Edward Newgate,8.5,10.0,-1.5,0,7.0,6.0,1.0,1,8.0,5.0,3.0,1,7.5,7.5,0.0,0,9.5,10.0,-0.5,0,7.0,9.0,-2.0,0,7.0,10.0,-3.0,0,7.5,10.0,-2.5,0,7.0,8.5,-1.5,0,7.0,7.5,-0.5,0,8.0,9.0,-1.0,0,9.0,10.0,-1.0,0,3.5,10.0,-6.5,0,8.0,10.0,-2.0,0,8.0,8.0,0.0,0,1.0,1.0,0.0,0,9.5,10.0,-0.5,0,7.0,9.5,-2.5,0,8.0,10.0,-2.0,0,5,17,loss
Boa Hancock vs Going Merry,Boa Hancock,Going Merry,8.5,3.0,5.5,1,7.0,6.5,0.5,1,8.0,5.0,3.0,1,7.5,3.5,4.0,1,9.5,1.5,8.0,1,7.0,3.5,3.5,1,7.0,6.5,0.5,1,7.5,5.0,2.5,1,7.0,6.5,0.5,1,7.0,4.0,3.0,1,8.0,3.5,4.5,1,9.0,1.5,7.5,1,3.5,2.0,1.5,1,8.0,1.0,7.0,1,8.0,1.5,6.5,1,1.0,0.0,1.0,1,9.5,1.0,8.5,1,7.0,5.5,1.5,1,8.0,7.5,0.5,1,19,0,victory
Boa Hancock vs Silvers Rayleigh,Boa Hancock,Silvers Rayleigh,8.5,9.5,-1.0,0,7.0,7.0,0.0,0,8.0,9.0,-1.0,0,7.5,10.0,-2.5,0,9.5,9.5,0.0,0,7.0,9.0,-2.0,0,7.0,9.0,-2.0,0,7.5,8.5,-1.0,0,7.0,8.5,-1.5,0,7.0,9.0,-2.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,3.5,9.5,-6.0,0,8.0,10.0,-2.0,0,8.0,10.0,-2.0,0,1.0,1.0,0.0,0,9.5,1.0,8.5,1,7.0,10.0,-3.0,0,8.0,10.0,-2.0,0,4,18,loss
Boa Hancock vs Buggy,Boa Hancock,Buggy,8.5,3.5,5.0,1,7.0,5.0,2.0,1,8.0,6.0,2.0,1,7.5,5.0,2.5,1,9.5,5.5,4.0,1,7.0,6.5,0.5,1,7.0,5.0,2.0,1,7.5,6.0,1.5,1,7.0,6.0,1.0,1,7.0,6.0,1.0,1,8.0,6.5,1.5,1,9.0,4.5,4.5,1,3.5,5.5,-2.0,0,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,9.5,8.0,1.5,1,7.0,5.5,1.5,1,8.0,7.5,0.5,1,18,1,victory
Boa Hancock vs Enel,Boa Hancock,Enel,8.5,7.0,1.5,1,7.0,9.5,-2.5,0,8.0,7.5,0.5,1,7.5,9.0,-1.5,0,9.5,9.5,0.0,0,7.0,6.5,0.5,1,7.0,6.5,0.5,1,7.5,6.0,1.5,1,7.0,8.0,-1.0,0,7.0,7.5,-0.5,0,8.0,7.0,1.0,1,9.0,7.0,2.0,1,3.5,6.5,-3.0,0,8.0,1.0,7.0,1,8.0,10.0,-2.0,0,1.0,0.0,1.0,1,9.5,10.0,-0.5,0,7.0,5.5,1.5,1,8.0,6.0,2.0,1,12,8,victory
Boa Hancock vs Kuzan,Boa Hancock,Kuzan,8.5,9.0,-0.5,0,7.0,8.5,-1.5,0,8.0,8.0,0.0,0,7.5,8.5,-1.0,0,9.5,9.5,0.0,0,7.0,8.5,-1.5,0,7.0,9.5,-2.5,0,7.5,9.0,-1.5,0,7.0,9.5,-2.5,0,7.0,8.5,-1.5,0,8.0,9.5,-1.5,0,9.0,9.5,-0.5,0,3.5,6.5,-3.0,0,8.0,8.5,-0.5,0,8.0,8.5,-0.5,0,1.0,0.0,1.0,1,9.5,10.0,-0.5,0,7.0,8.5,-1.5,0,8.0,9.5,-1.5,0,3,18,loss
Boa Hancock vs Woop Slap,Boa Hancock,Woop Slap,8.5,1.0,7.5,1,7.0,2.0,5.0,1,8.0,1.0,7.0,1,7.5,1.5,6.0,1,9.5,1.0,8.5,1,7.0,1.0,6.0,1,7.0,2.0,5.0,1,7.5,2.0,5.5,1,7.0,2.5,4.5,1,7.0,5.5,1.5,1,8.0,1.0,7.0,1,9.0,1.0,8.0,1,3.5,1.0,2.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,9.5,1.0,8.5,1,7.0,6.0,1.0,1,8.0,4.0,4.0,1,19,0,victory
Boa Hancock vs Tashigi,Boa Hancock,Tashigi,8.5,4.0,4.5,1,7.0,4.5,2.5,1,8.0,5.5,2.5,1,7.5,6.0,1.5,1,9.5,5.0,4.5,1,7.0,4.5,2.5,1,7.0,5.0,2.0,1,7.5,4.5,3.0,1,7.0,5.5,1.5,1,7.0,7.0,0.0,0,8.0,6.0,2.0,1,9.0,6.5,2.5,1,3.5,7.5,-4.0,0,8.0,5.0,3.0,1,8.0,4.0,4.0,1,1.0,0.0,1.0,1,9.5,1.0,8.5,1,7.0,7.0,0.0,0,8.0,6.0,2.0,1,18,3,victory
