fight_name,fighter_1_reaction_speed,fighter_2_reaction_speed,reaction_speed_diff,reaction_speed_advantage,fighter_1_stamina,fighter_2_stamina,stamina_diff,stamina_advantage,fighter_1_strength,fighter_2_strength,strength_diff,strength_advantage,fighter_1_offense,fighter_2_offense,offense_diff,offense_advantage,fighter_1_defense,fighter_2_defense,defense_diff,defense_advantage,fighter_1_combat_skills,fighter_2_combat_skills,combat_skills_diff,combat_skills_advantage,fighter_1_battle_iq,fighter_2_battle_iq,battle_iq_diff,battle_iq_advantage,fighter_1_armament_haki,fighter_2_armament_haki,armament_haki_diff,armament_haki_advantage,fighter_1_observation_haki,fighter_2_observation_haki,observation_haki_diff,observation_haki_advantage,fighter_1_conqueror_haki,fighter_2_conqueror_haki,conqueror_haki_diff,conqueror_haki_advantage,fighter_1_experience,fighter_2_experience,experience_diff,experience_advantage,outcome
Boa Hancock vs Koala,7.5,7.0,0.5,1,7.0,6.5,0.5,1,8.5,6.0,2.5,1,9.5,6.5,3.0,1,7.0,5.5,1.5,1,9.0,7.5,1.5,1,8.0,7.0,1.0,1,8.0,5.0,3.0,1,8.0,5.0,3.0,1,1.0,0.0,1.0,1,8.0,7.0,1.0,1,victory
Boa Hancock vs Borsalino,7.5,10.0,-2.5,0,7.0,8.0,-1.0,0,8.5,8.0,0.5,1,9.5,9.5,0.0,0,7.0,7.5,-0.5,0,9.0,9.0,0.0,0,8.0,8.5,-0.5,0,8.0,9.0,-1.0,0,8.0,9.0,-1.0,0,1.0,0.0,1.0,1,8.0,9.5,-1.5,0,loss
Boa Hancock vs Gaimon,7.5,1.5,6.0,1,7.0,3.5,3.5,1,8.5,1.0,7.5,1,9.5,1.0,8.5,1,7.0,1.5,5.5,1,9.0,1.0,8.0,1,8.0,1.5,6.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,5.5,2.5,1,victory
Boa Hancock vs Pedro,7.5,7.5,0.0,0,7.0,7.0,0.0,0,8.5,7.5,1.0,1,9.5,7.5,2.0,1,7.0,6.5,0.5,1,9.0,8.0,1.0,1,8.0,8.0,0.0,0,8.0,6.5,1.5,1,8.0,7.5,0.5,1,1.0,0.0,1.0,1,8.0,8.0,0.0,0,victory
Boa Hancock vs Monkey D. Dragon,7.5,8.5,-1.0,0,7.0,9.0,-2.0,0,8.5,8.5,0.0,0,9.5,9.0,0.5,1,7.0,8.5,-1.5,0,9.0,9.0,0.0,0,8.0,9.5,-1.5,0,8.0,9.0,-1.0,0,8.0,8.0,0.0,0,1.0,0.0,1.0,1,8.0,10.0,-2.0,0,loss
Boa Hancock vs Thousand Sunny,7.5,5.0,2.5,1,7.0,7.0,0.0,0,8.5,7.5,1.0,1,9.5,7.0,2.5,1,7.0,7.5,-0.5,0,9.0,6.0,3.0,1,8.0,4.0,4.0,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,6.5,1.5,1,victory
Boa Hancock vs Bepo,7.5,6.0,1.5,1,7.0,6.0,1.0,1,8.5,6.0,2.5,1,9.5,6.0,3.5,1,7.0,5.5,1.5,1,9.0,6.5,2.5,1,8.0,6.0,2.0,1,8.0,3.0,5.0,1,8.0,3.0,5.0,1,1.0,0.0,1.0,1,8.0,6.5,1.5,1,victory
Boa Hancock vs Rockstar,7.5,5.5,2.0,1,7.0,6.0,1.0,1,8.5,5.5,3.0,1,9.5,5.5,4.0,1,7.0,5.0,2.0,1,9.0,6.0,3.0,1,8.0,5.5,2.5,1,8.0,6.0,2.0,1,8.0,5.0,3.0,1,1.0,0.0,1.0,1,8.0,6.0,2.0,1,victory
Boa Hancock vs Hiriluk,7.5,3.5,4.0,1,7.0,4.5,2.5,1,8.5,2.0,6.5,1,9.5,1.5,8.0,1,7.0,2.5,4.5,1,9.0,1.5,7.5,1,8.0,1.5,6.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,6.0,2.0,1,victory
Boa Hancock vs Rebecca,7.5,7.0,0.5,1,7.0,6.5,0.5,1,8.5,4.0,4.5,1,9.5,4.0,5.5,1,7.0,5.0,2.0,1,9.0,6.0,3.0,1,8.0,7.0,1.0,1,8.0,0.0,8.0,1,8.0,1.5,6.5,1,1.0,0.0,1.0,1,8.0,6.0,2.0,1,victory
Boa Hancock vs Paulie,7.5,6.0,1.5,1,7.0,7.0,0.0,0,8.5,6.5,2.0,1,9.5,6.0,3.5,1,7.0,6.0,1.0,1,9.0,7.0,2.0,1,8.0,6.5,1.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,7.0,1.0,1,victory
Boa Hancock vs Urouge,7.5,6.5,1.0,1,7.0,7.0,0.0,0,8.5,8.0,0.5,1,9.5,8.0,1.5,1,7.0,7.0,0.0,0,9.0,7.0,2.0,1,8.0,7.0,1.0,1,8.0,7.0,1.0,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,8.0,8.0,0.0,0,victory
Boa Hancock vs Namur,7.5,6.5,1.0,1,7.0,7.0,0.0,0,8.5,7.5,1.0,1,9.5,7.5,2.0,1,7.0,6.5,0.5,1,9.0,7.5,1.5,1,8.0,6.5,1.5,1,8.0,4.0,4.0,1,8.0,3.5,4.5,1,1.0,0.0,1.0,1,8.0,6.5,1.5,1,victory
Boa Hancock vs Senor Pink,7.5,6.5,1.0,1,7.0,7.5,-0.5,0,8.5,7.0,1.5,1,9.5,7.0,2.5,1,7.0,7.0,0.0,0,9.0,7.5,1.5,1,8.0,7.0,1.0,1,8.0,5.5,2.5,1,8.0,4.0,4.0,1,1.0,0.0,1.0,1,8.0,7.5,0.5,1,victory
Boa Hancock vs Cavendish,7.5,7.5,0.0,0,7.0,7.0,0.0,0,8.5,7.5,1.0,1,9.5,8.0,1.5,1,7.0,6.5,0.5,1,9.0,8.0,1.0,1,8.0,7.5,0.5,1,8.0,6.0,2.0,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,8.0,7.5,0.5,1,victory
Boa Hancock vs Gecko Moria,7.5,4.5,3.0,1,7.0,6.0,1.0,1,8.5,6.5,2.0,1,9.5,7.5,2.0,1,7.0,5.5,1.5,1,9.0,5.0,4.0,1,8.0,6.0,2.0,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,8.0,0.0,0,victory
Boa Hancock vs Karoo,7.5,4.5,3.0,1,7.0,6.5,0.5,1,8.5,2.0,6.5,1,9.5,1.5,8.0,1,7.0,3.5,3.5,1,9.0,1.5,7.5,1,8.0,2.5,5.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,4.5,3.5,1,victory
Boa Hancock vs Monet,7.5,6.0,1.5,1,7.0,6.5,0.5,1,8.5,4.5,4.0,1,9.5,7.0,2.5,1,7.0,6.0,1.0,1,9.0,6.5,2.5,1,8.0,6.5,1.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,6.0,2.0,1,victory
Boa Hancock vs Kaku,7.5,8.0,-0.5,0,7.0,7.5,-0.5,0,8.5,8.0,0.5,1,9.5,8.5,1.0,1,7.0,7.0,0.0,0,9.0,9.0,0.0,0,8.0,8.0,0.0,0,8.0,3.0,5.0,1,8.0,3.0,5.0,1,1.0,0.0,1.0,1,8.0,8.5,-0.5,0,loss
Boa Hancock vs Orlumbus,7.5,4.0,3.5,1,7.0,6.5,0.5,1,8.5,6.0,2.5,1,9.5,5.0,4.5,1,7.0,5.0,2.0,1,9.0,5.0,4.0,1,8.0,6.5,1.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,6.5,1.5,1,victory
Boa Hancock vs Emporio Ivankov,7.5,7.5,0.0,0,7.0,7.5,-0.5,0,8.5,7.0,1.5,1,9.5,7.5,2.0,1,7.0,7.0,0.0,0,9.0,8.0,1.0,1,8.0,8.0,0.0,0,8.0,6.0,2.0,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,8.0,8.5,-0.5,0,victory
Boa Hancock vs Morgans,7.5,5.0,2.5,1,7.0,7.0,0.0,0,8.5,3.5,5.0,1,9.5,4.0,5.5,1,7.0,4.5,2.5,1,9.0,3.5,5.5,1,8.0,5.0,3.0,1,8.0,1.0,7.0,1,8.0,3.5,4.5,1,1.0,0.0,1.0,1,8.0,8.0,0.0,0,victory
Boa Hancock vs Bell-mère,7.5,5.0,2.5,1,7.0,5.5,1.5,1,8.5,4.5,4.0,1,9.5,4.5,5.0,1,7.0,4.5,2.5,1,9.0,5.0,4.0,1,8.0,4.0,4.0,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,6.0,2.0,1,victory
Boa Hancock vs Basil Hawkins,7.5,7.0,0.5,1,7.0,7.0,0.0,0,8.5,6.5,2.0,1,9.5,7.0,2.5,1,7.0,7.5,-0.5,0,9.0,6.5,2.5,1,8.0,8.0,0.0,0,8.0,7.0,1.0,1,8.0,7.0,1.0,1,1.0,0.0,1.0,1,8.0,7.5,0.5,1,victory
Boa Hancock vs Denjiro,7.5,7.5,0.0,0,7.0,8.0,-1.0,0,8.5,8.0,0.5,1,9.5,8.5,1.0,1,7.0,7.0,0.0,0,9.0,8.5,0.5,1,8.0,8.5,-0.5,0,8.0,8.0,0.0,0,8.0,7.0,1.0,1,1.0,0.0,1.0,1,8.0,9.0,-1.0,0,draw
Boa Hancock vs Gin,7.5,6.0,1.5,1,7.0,6.5,0.5,1,8.5,6.5,2.0,1,9.5,7.0,2.5,1,7.0,5.5,1.5,1,9.0,7.0,2.0,1,8.0,6.5,1.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,6.5,1.5,1,victory
Boa Hancock vs Jewelry Bonney,7.5,6.0,1.5,1,7.0,6.5,0.5,1,8.5,5.5,3.0,1,9.5,6.5,3.0,1,7.0,6.0,1.0,1,9.0,5.5,3.5,1,8.0,7.0,1.0,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,7.0,1.0,1,victory
Boa Hancock vs Charlotte Linlin,7.5,8.0,-0.5,0,7.0,9.0,-2.0,0,8.5,10.0,-1.5,0,9.5,10.0,-0.5,0,7.0,9.0,-2.0,0,9.0,9.5,-0.5,0,8.0,7.5,0.5,1,8.0,9.5,-1.5,0,8.0,7.5,0.5,1,1.0,1.0,0.0,0,8.0,9.5,-1.5,0,loss
Boa Hancock vs Marguerite,7.5,6.5,1.0,1,7.0,6.5,0.5,1,8.5,4.5,4.0,1,9.5,6.5,3.0,1,7.0,5.0,2.0,1,9.0,7.0,2.0,1,8.0,6.0,2.0,1,8.0,6.0,2.0,1,8.0,5.0,3.0,1,1.0,0.0,1.0,1,8.0,6.5,1.5,1,victory
Boa Hancock vs Wyper,7.5,6.5,1.0,1,7.0,7.5,-0.5,0,8.5,7.0,1.5,1,9.5,8.0,1.5,1,7.0,5.5,1.5,1,9.0,7.0,2.0,1,8.0,7.0,1.0,1,8.0,0.0,8.0,1,8.0,0.0,8.0,1,1.0,0.0,1.0,1,8.0,7.0,1.0,1,victory
Boa Hancock vs Animal Species/Arabasta Saga,7.5,6.0,1.5,1,7.0,7.0,0.0,0,8.5,6.5,2.0,1,9.5,7.0,2.5,1,7.0,6.0,1.0,1,9.0,7.0,2.0,1,8.0,6.5,1.5,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,6.5,1.5,1,victory
Boa Hancock vs Charlotte Mont-d'Or,7.5,6.0,1.5,1,7.0,6.5,0.5,1,8.5,6.5,2.0,1,9.5,7.0,2.5,1,7.0,6.5,0.5,1,9.0,7.0,2.0,1,8.0,7.0,1.0,1,8.0,7.0,1.0,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,8.0,7.5,0.5,1,victory
Boa Hancock vs Caesar Clown,7.5,5.5,2.0,1,7.0,5.0,2.0,1,8.5,4.0,4.5,1,9.5,7.0,2.5,1,7.0,5.0,2.0,1,9.0,4.5,4.5,1,8.0,6.0,2.0,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,7.0,1.0,1,victory
Boa Hancock vs Kin'emon,7.5,6.5,1.0,1,7.0,6.5,0.5,1,8.5,6.5,2.0,1,9.5,7.0,2.5,1,7.0,6.0,1.0,1,9.0,7.5,1.5,1,8.0,7.5,0.5,1,8.0,6.5,1.5,1,8.0,5.0,3.0,1,1.0,0.0,1.0,1,8.0,7.5,0.5,1,victory
Boa Hancock vs Zeff,7.5,6.5,1.0,1,7.0,6.5,0.5,1,8.5,6.5,2.0,1,9.5,6.0,3.5,1,7.0,6.0,1.0,1,9.0,7.5,1.5,1,8.0,7.5,0.5,1,8.0,4.5,3.5,1,8.0,4.5,3.5,1,1.0,0.0,1.0,1,8.0,9.0,-1.0,0,victory
Boa Hancock vs Vista,7.5,8.5,-1.0,0,7.0,8.0,-1.0,0,8.5,8.0,0.5,1,9.5,8.0,1.5,1,7.0,7.5,-0.5,0,9.0,9.0,0.0,0,8.0,8.0,0.0,0,8.0,8.0,0.0,0,8.0,7.0,1.0,1,1.0,0.0,1.0,1,8.0,9.0,-1.0,0,draw
Boa Hancock vs Charlotte Perospero,7.5,6.5,1.0,1,7.0,7.0,0.0,0,8.5,7.0,1.5,1,9.5,8.0,1.5,1,7.0,7.0,0.0,0,9.0,7.0,2.0,1,8.0,7.5,0.5,1,8.0,7.0,1.0,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,8.0,8.0,0.0,0,victory
Boa Hancock vs Kawamatsu,7.5,7.0,0.5,1,7.0,8.5,-1.5,0,8.5,7.5,1.0,1,9.5,8.0,1.5,1,7.0,7.0,0.0,0,9.0,8.5,0.5,1,8.0,7.5,0.5,1,8.0,6.5,1.5,1,8.0,6.0,2.0,1,1.0,0.0,1.0,1,8.0,8.5,-0.5,0,victory
Boa Hancock vs Pandaman,7.5,5.0,2.5,1,7.0,6.5,0.5,1,8.5,3.5,5.0,1,9.5,3.0,6.5,1,7.0,3.5,3.5,1,9.0,2.5,6.5,1,8.0,2.5,5.5,1,8.0,1.0,7.0,1,8.0,5.0,3.0,1,1.0,0.0,1.0,1,8.0,8.5,-0.5,0,victory
Boa Hancock vs Bartholomew Kuma,7.5,9.0,-1.5,0,7.0,9.5,-2.5,0,8.5,9.5,-1.0,0,9.5,9.5,0.0,0,7.0,8.5,-1.5,0,9.0,8.0,1.0,1,8.0,9.0,-1.0,0,8.0,8.0,0.0,0,8.0,8.0,0.0,0,1.0,0.0,1.0,1,8.0,9.5,-1.5,0,loss
Boa Hancock vs Charlotte Cracker,7.5,7.5,0.0,0,7.0,8.0,-1.0,0,8.5,8.5,0.0,0,9.5,9.0,0.5,1,7.0,9.0,-2.0,0,9.0,8.0,1.0,1,8.0,8.5,-0.5,0,8.0,8.5,-0.5,0,8.0,7.5,0.5,1,1.0,0.0,1.0,1,8.0,8.5,-0.5,0,loss
Boa Hancock vs Chouchou,7.5,3.0,4.5,1,7.0,3.5,3.5,1,8.5,1.5,7.0,1,9.5,1.5,8.0,1,7.0,2.0,5.0,1,9.0,1.5,7.5,1,8.0,2.0,6.0,1,8.0,1.0,7.0,1,8.0,1.0,7.0,1,1.0,0.0,1.0,1,8.0,2.0,6.0,1,victory
Carrot vs Portgas D. Ace,7.5,8.0,-0.5,0,6.5,9.0,-2.5,0,6.5,9.0,-2.5,0,7.0,9.5,-2.5,0,5.5,7.5,-2.0,0,7.0,9.0,-2.0,0,6.0,8.0,-2.0,0,0.0,8.0,-8.0,0,0.0,8.0,-8.0,0,0.0,1.0,-1.0,0,5.5,8.0,-2.5,0,loss
Carrot vs Sabo,7.5,9.0,-1.5,0,6.5,8.5,-2.0,0,6.5,9.0,-2.5,0,7.0,9.0,-2.0,0,5.5,8.0,-2.5,0,7.0,9.5,-2.5,0,6.0,9.0,-3.0,0,0.0,9.0,-9.0,0,0.0,8.0,-8.0,0,0.0,0.0,0.0,0,5.5,9.0,-3.5,0,loss
Carrot vs Yamato,7.5,8.0,-0.5,0,6.5,8.0,-1.5,0,6.5,8.5,-2.0,0,7.0,8.5,-1.5,0,5.5,8.0,-2.5,0,7.0,8.5,-1.5,0,6.0,8.0,-2.0,0,0.0,8.5,-8.5,0,0.0,7.0,-7.0,0,0.0,1.0,-1.0,0,5.5,7.0,-1.5,0,loss
Carrot vs Shanks,7.5,10.0,-2.5,0,6.5,9.5,-3.0,0,6.5,9.5,-3.0,0,7.0,9.5,-2.5,0,5.5,9.0,-3.5,0,7.0,10.0,-3.0,0,6.0,10.0,-4.0,0,0.0,10.0,-10.0,0,0.0,9.5,-9.5,0,0.0,1.0,-1.0,0,5.5,10.0,-4.5,0,loss
Carrot vs Donquixote Rosinante,7.5,6.0,1.5,1,6.5,6.5,0.0,0,6.5,4.5,2.0,1,7.0,5.0,2.0,1,5.5,5.0,0.5,1,7.0,5.0,2.0,1,6.0,6.5,-0.5,0,0.0,3.0,-3.0,0,0.0,6.0,-6.0,0,0.0,0.0,0.0,0,5.5,7.0,-1.5,0,draw
Carrot vs Charlotte Katakuri,7.5,9.5,-2.0,0,6.5,9.0,-2.5,0,6.5,9.0,-2.5,0,7.0,8.5,-1.5,0,5.5,8.0,-2.5,0,7.0,9.5,-2.5,0,6.0,9.0,-3.0,0,0.0,9.0,-9.0,0,0.0,10.0,-10.0,0,0.0,1.0,-1.0,0,5.5,9.0,-3.5,0,loss
Carrot vs Usopp,7.5,6.0,1.5,1,6.5,6.5,0.0,0,6.5,3.0,3.5,1,7.0,6.0,1.0,1,5.5,3.5,2.0,1,7.0,6.0,1.0,1,6.0,7.0,-1.0,0,0.0,0.5,-0.5,0,0.0,7.5,-7.5,0,0.0,0.0,0.0,0,5.5,7.0,-1.5,0,victory
Carrot vs Tony Tony Chopper,7.5,5.5,2.0,1,6.5,6.0,0.5,1,6.5,6.5,0.0,0,7.0,6.5,0.5,1,5.5,6.0,-0.5,0,7.0,6.0,1.0,1,6.0,7.0,-1.0,0,0.0,1.0,-1.0,0,0.0,1.0,-1.0,0,0.0,0.0,0.0,0,5.5,6.5,-1.0,0,draw
Carrot vs Crocodile,7.5,7.5,0.0,0,6.5,7.5,-1.0,0,6.5,7.5,-1.0,0,7.0,8.5,-1.5,0,5.5,8.0,-2.5,0,7.0,8.0,-1.0,0,6.0,9.0,-3.0,0,0.0,6.0,-6.0,0,0.0,6.0,-6.0,0,0.0,0.0,0.0,0,5.5,9.0,-3.5,0,loss
Carrot vs Jinbe,7.5,4.5,3.0,1,6.5,5.0,1.5,1,6.5,5.0,1.5,1,7.0,5.0,2.0,1,5.5,5.5,0.0,0,7.0,5.5,1.5,1,6.0,5.0,1.0,1,0.0,5.0,-5.0,0,0.0,4.5,-4.5,0,0.0,0.0,0.0,0,5.5,5.5,0.0,0,victory
Carrot vs Marco,7.5,9.0,-1.5,0,6.5,8.5,-2.0,0,6.5,8.0,-1.5,0,7.0,8.5,-1.5,0,5.5,9.5,-4.0,0,7.0,9.0,-2.0,0,6.0,9.0,-3.0,0,0.0,7.5,-7.5,0,0.0,7.5,-7.5,0,0.0,0.0,0.0,0,5.5,9.5,-4.0,0,loss
Carrot vs Donquixote Doflamingo,7.5,8.5,-1.0,0,6.5,9.5,-3.0,0,6.5,8.5,-2.0,0,7.0,9.0,-2.0,0,5.5,8.0,-2.5,0,7.0,9.0,-2.0,0,6.0,9.0,-3.0,0,0.0,8.5,-8.5,0,0.0,8.0,-8.0,0,0.0,1.0,-1.0,0,5.5,9.5,-4.0,0,loss
Carrot vs Nefertari Vivi,7.5,4.5,3.0,1,6.5,5.5,1.0,1,6.5,3.0,3.5,1,7.0,3.0,4.0,1,5.5,3.5,2.0,1,7.0,4.5,2.5,1,6.0,6.5,-0.5,0,0.0,1.0,-1.0,0,0.0,1.0,-1.0,0,0.0,0.0,0.0,0,5.5,6.0,-0.5,0,victory
Carrot vs Bentham,7.5,6.5,1.0,1,6.5,7.5,-1.0,0,6.5,6.5,0.0,0,7.0,6.5,0.5,1,5.5,5.5,0.0,0,7.0,7.5,-0.5,0,6.0,7.5,-1.5,0,0.0,0.5,-0.5,0,0.0,0.5,-0.5,0,0.0,0.0,0.0,0,5.5,7.0,-1.5,0,loss
Carrot vs Eustass Kid,7.5,8.0,-0.5,0,6.5,8.0,-1.5,0,6.5,8.5,-2.0,0,7.0,8.5,-1.5,0,5.5,7.5,-2.0,0,7.0,7.5,-0.5,0,6.0,7.5,-1.5,0,0.0,8.0,-8.0,0,0.0,7.0,-7.0,0,0.0,1.0,-1.0,0,5.5,8.0,-2.5,0,loss
Carrot vs Kouzuki Oden,7.5,8.5,-1.0,0,6.5,8.5,-2.0,0,6.5,9.5,-3.0,0,7.0,9.5,-2.5,0,5.5,7.0,-1.5,0,7.0,9.5,-2.5,0,6.0,7.5,-1.5,0,0.0,9.0,-9.0,0,0.0,7.5,-7.5,0,0.0,1.0,-1.0,0,5.5,9.0,-3.5,0,loss
Carrot vs Perona,7.5,4.5,3.0,1,6.5,4.0,2.5,1,6.5,1.5,5.0,1,7.0,6.5,0.5,1,5.5,5.5,0.0,0,7.0,3.0,4.0,1,6.0,5.0,1.0,1,0.0,1.0,-1.0,0,0.0,1.0,-1.0,0,0.0,0.0,0.0,0,5.5,4.5,1.0,1,victory
Carrot vs Brook,7.5,7.5,0.0,0,6.5,8.0,-1.5,0,6.5,6.0,0.5,1,7.0,7.0,0.0,0,5.5,5.0,0.5,1,7.0,7.5,-0.5,0,6.0,7.0,-1.0,0,0.0,2.0,-2.0,0,0.0,2.5,-2.5,0,0.0,0.0,0.0,0,5.5,8.5,-3.0,0,loss
Carrot vs Smoker,7.5,7.0,0.5,1,6.5,7.0,-0.5,0,6.5,7.0,-0.5,0,7.0,7.0,0.0,0,5.5,6.5,-1.0,0,7.0,7.5,-0.5,0,6.0,7.5,-1.5,0,0.0,6.5,-6.5,0,0.0,7.0,-7.0,0,0.0,0.0,0.0,0,5.5,8.5,-3.0,0,loss
Carrot vs Franky,7.5,6.5,1.0,1,6.5,7.5,-1.0,0,6.5,8.0,-1.5,0,7.0,8.0,-1.0,0,5.5,7.5,-2.0,0,7.0,7.5,-0.5,0,6.0,7.5,-1.5,0,0.0,2.0,-2.0,0,0.0,1.0,-1.0,0,0.0,0.0,0.0,0,5.5,8.0,-2.5,0,loss
Carrot vs Gol D. Roger,7.5,10.0,-2.5,0,6.5,10.0,-3.5,0,6.5,10.0,-3.5,0,7.0,10.0,-3.0,0,5.5,8.5,-3.0,0,7.0,10.0,-3.0,0,6.0,10.0,-4.0,0,0.0,10.0,-10.0,0,0.0,9.5,-9.5,0,0.0,1.0,-1.0,0,5.5,10.0,-4.5,0,loss
Carrot vs Dracule Mihawk,7.5,10.0,-2.5,0,6.5,9.5,-3.0,0,6.5,10.0,-3.5,0,7.0,10.0,-3.0,0,5.5,9.0,-3.5,0,7.0,10.0,-3.0,0,6.0,10.0,-4.0,0,0.0,9.5,-9.5,0,0.0,9.5,-9.5,0,0.0,0.0,0.0,0,5.5,10.0,-4.5,0,loss
Carrot vs Edward Newgate,7.5,7.5,0.0,0,6.5,8.5,-2.0,0,6.5,10.0,-3.5,0,7.0,10.0,-3.0,0,5.5,9.0,-3.5,0,7.0,10.0,-3.0,0,6.0,9.0,-3.0,0,0.0,10.0,-10.0,0,0.0,8.0,-8.0,0,0.0,1.0,-1.0,0,5.5,10.0,-4.5,0,loss
Carrot vs Going Merry,7.5,3.5,4.0,1,6.5,6.5,0.0,0,6.5,3.0,3.5,1,7.0,1.5,5.5,1,5.5,3.5,2.0,1,7.0,1.5,5.5,1,6.0,3.5,2.5,1,0.0,1.0,-1.0,0,0.0,1.5,-1.5,0,0.0,0.0,0.0,0,5.5,7.5,-2.0,0,victory
Carrot vs Silvers Rayleigh,7.5,10.0,-2.5,0,6.5,8.5,-2.0,0,6.5,9.5,-3.0,0,7.0,9.5,-2.5,0,5.5,9.0,-3.5,0,7.0,10.0,-3.0,0,6.0,10.0,-4.0,0,0.0,10.0,-10.0,0,0.0,10.0,-10.0,0,0.0,1.0,-1.0,0,5.5,10.0,-4.5,0,loss
Carrot vs Buggy,7.5,5.0,2.5,1,6.5,6.0,0.5,1,6.5,3.5,3.0,1,7.0,5.5,1.5,1,5.5,6.5,-1.0,0,7.0,4.5,2.5,1,6.0,6.5,-0.5,0,0.0,1.0,-1.0,0,0.0,1.0,-1.0,0,0.0,0.0,0.0,0,5.5,7.5,-2.0,0,victory
Carrot vs Enel,7.5,9.0,-1.5,0,6.5,8.0,-1.5,0,6.5,7.0,-0.5,0,7.0,9.5,-2.5,0,5.5,6.5,-1.0,0,7.0,7.0,0.0,0,6.0,7.0,-1.0,0,0.0,1.0,-1.0,0,0.0,10.0,-10.0,0,0.0,0.0,0.0,0,5.5,6.0,-0.5,0,loss
Carrot vs Kuzan,7.5,8.5,-1.0,0,6.5,9.5,-3.0,0,6.5,9.0,-2.5,0,7.0,9.5,-2.5,0,5.5,8.5,-3.0,0,7.0,9.5,-2.5,0,6.0,9.5,-3.5,0,0.0,8.5,-8.5,0,0.0,8.5,-8.5,0,0.0,0.0,0.0,0,5.5,9.5,-4.0,0,loss
Carrot vs Woop Slap,7.5,1.5,6.0,1,6.5,2.5,4.0,1,6.5,1.0,5.5,1,7.0,1.0,6.0,1,5.5,1.0,4.5,1,7.0,1.0,6.0,1,6.0,1.0,5.0,1,0.0,1.0,-1.0,0,0.0,1.0,-1.0,0,0.0,0.0,0.0,0,5.5,4.0,1.5,1,victory
Carrot vs Tashigi,7.5,6.0,1.5,1,6.5,5.5,1.0,1,6.5,4.0,2.5,1,7.0,5.0,2.0,1,5.5,4.5,1.0,1,7.0,6.5,0.5,1,6.0,6.0,0.0,0,0.0,5.0,-5.0,0,0.0,4.0,-4.0,0,0.0,0.0,0.0,0,5.5,6.0,-0.5,0,victory
Carrot vs Vinsmoke Reiju,7.5,7.0,0.5,1,6.5,6.5,0.0,0,6.5,6.5,0.0,0,7.0,7.0,0.0,0,5.5,6.5,-1.0,0,7.0,7.5,-0.5,0,6.0,7.5,-1.5,0,0.0,3.0,-3.0,0,0.0,3.0,-3.0,0,0.0,0.0,0.0,0,5.5,7.0,-1.5,0,loss
Carrot vs Bartolomeo,7.5,5.5,2.0,1,6.5,7.0,-0.5,0,6.5,6.0,0.5,1,7.0,7.0,0.0,0,5.5,9.5,-4.0,0,7.0,6.0,1.0,1,6.0,6.5,-0.5,0,0.0,2.0,-2.0,0,0.0,2.0,-2.0,0,0.0,0.0,0.0,0,5.5,6.0,-0.5,0,loss
Carrot vs X Drake,7.5,7.5,0.0,0,6.5,7.0,-0.5,0,6.5,7.5,-1.0,0,7.0,8.0,-1.0,0,5.5,7.0,-1.5,0,7.0,8.0,-1.0,0,6.0,7.5,-1.5,0,0.0,7.0,-7.0,0,0.0,6.5,-6.5,0,0.0,0.0,0.0,0,5.5,8.0,-2.5,0,loss
Carrot vs Koby,7.5,7.0,0.5,1,6.5,7.5,-1.0,0,6.5,6.0,0.5,1,7.0,6.5,0.5,1,5.5,5.0,0.5,1,7.0,6.5,0.5,1,6.0,7.0,-1.0,0,0.0,7.0,-7.0,0,0.0,8.5,-8.5,0,0.0,0.0,0.0,0,5.5,6.0,-0.5,0,draw
Carrot vs Rob Lucci,7.5,8.5,-1.0,0,6.5,9.0,-2.5,0,6.5,9.0,-2.5,0,7.0,9.0,-2.0,0,5.5,7.5,-2.0,0,7.0,9.5,-2.5,0,6.0,8.5,-2.5,0,0.0,7.5,-7.5,0,0.0,7.5,-7.5,0,0.0,0.0,0.0,0,5.5,8.5,-3.0,0,loss
